Role	Perspective	Actor Keyword(s)	Target Keyword(s)	Behavior Path	Animation Path(s)
Weapon	3rd		AnimsCombatShotgun, AnimsGripRifleStraight	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\CombatShotgun, Actors\PowerArmor\Animations\Grips\RifleStraight, Actors\PowerArmor\Animations\Grips\Rifle, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsCryolator	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\Cryolater, Actors\PowerArmor\Animations\Grips\Rifle, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsDeliverer, AnimsGripPistol	Actors\Character\Behaviors\NoHandIKWeaponWrappingBehavior.hkx	Actors\PowerArmor\Animations\Weapons\CovertSidearm, Actors\PowerArmor\Animations\Grips\Pistol, Actors\PowerArmor\Animations\Paired
Weapon	3rd		animsDoubleBarrelShotgun	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\DoubleBarrel, Actors\PowerArmor\Animations\Grips\RifleStraight, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsFatMan	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\FatMan, Actors\PowerArmor\Animations\Grips\ShoulderMounted, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsFlamer	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\Flamer, Actors\PowerArmor\Animations\Grips\Minigun, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsFlareGun, AnimsGripPistol	Actors\Character\Behaviors\NoHandIKWeaponWrappingBehavior.hkx	Actors\PowerArmor\Animations\Weapons\FlareGun, Actors\PowerArmor\Animations\Grips\Pistol, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGammaGun, AnimsGripPistol	Actors\Character\Behaviors\NoHandIKWeaponWrappingBehavior.hkx	Actors\PowerArmor\Animations\Weapons\GammaGun, Actors\PowerArmor\Animations\Grips\Pistol, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGatlingLaser	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\GatlingLaser, Actors\PowerArmor\Animations\Grips\Minigun, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGaussRifle, AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\GaussRifle, Actors\PowerArmor\Animations\Grips\Rifle, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripPistol	Actors\Character\Behaviors\NoHandIKWeaponWrappingBehavior.hkx	Actors\PowerArmor\Animations\Weapons\Pistol10mm, Actors\PowerArmor\Animations\Grips\Pistol, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripPistol, AnimsLaserGripPistol	Actors\Character\Behaviors\NoHandIKWeaponWrappingBehavior.hkx	Actors\PowerArmor\Animations\Weapons\LaserPistol, Actors\PowerArmor\Animations\Grips\Pistol, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripPistol, AnimsPlasmaPistol	Actors\Character\Behaviors\NoHandIKWeaponWrappingBehavior.hkx	Actors\PowerArmor\Animations\Weapons\PlasmaPistol, Actors\PowerArmor\Animations\Grips\Pistol, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripPistol, AnimsReceiverHandmadePipeSA, AnimsRecieverHandmadePipe	Actors\Character\Behaviors\NoHandIKWeaponWrappingBehavior.hkx	Actors\PowerArmor\Animations\Weapons\PipeRiflePistolSemiAuto, Actors\PowerArmor\Animations\Weapons\PipeRiflePistol, Actors\PowerArmor\Animations\Grips\Pistol, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripPistol, AnimsRecieverHandmadePipe	Actors\Character\Behaviors\NoHandIKWeaponWrappingBehavior.hkx	Actors\PowerArmor\Animations\Weapons\PipeRiflePistol, Actors\PowerArmor\Animations\Weapons\PipeRifle, Actors\PowerArmor\Animations\Grips\Pistol, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripPistol, AnimsRecieverHandmadeRevolver	Actors\Character\Behaviors\NoHandIKWeaponWrappingBehavior.hkx	Actors\PowerArmor\Animations\Weapons\HandmadeRevolver, Actors\PowerArmor\Animations\Grips\Pistol, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripRifleAssault	Actors\Character\Behaviors\PowerArmorHeavyWeaponWrappingBehavior.hkx	Actors\PowerArmor\Animations\Weapons\MachineGun, Actors\PowerArmor\Animations\Grips\Rifle, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripRifleAssault, AnimsReceiverHandmadePipeSA, AnimsRecieverHandmadePipe	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\PipeRifleSemiAuto, Actors\PowerArmor\Animations\Grips\Rifle, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripRifleStraight, AnimsLaserBarrelRapid, AnimsLaserGripRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\LaserRifleRapidGripStraight, Actors\PowerArmor\Animations\Grips\RifleStraight, Actors\PowerArmor\Animations\Grips\Rifle, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripRifleStraight, AnimsLaserBarrelSuper, AnimsLaserGripRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\LaserRifleRapidGripStraight, Actors\PowerArmor\Animations\Grips\RifleStraight, Actors\PowerArmor\Animations\Grips\Rifle, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripRifleStraight, AnimsLaserGripRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\LaserRifleGripStraight, Actors\PowerArmor\Animations\Grips\RifleStraight, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripRifleStraight, AnimsReceiverHandmadePipeSA, AnimsRecieverHandmadePipe	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\PipeRifleSemiAuto, Actors\PowerArmor\Animations\Weapons\PipeRifle, Actors\PowerArmor\Animations\Grips\RifleStraight, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripRifleStraight, AnimsRecieverHandmadePipe	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\PipeRifle, Actors\PowerArmor\Animations\Grips\RifleStraight, Actors\PowerArmor\Animations\Grips\Rifle, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripRifleStraight, AnimsRecieverHandmadeRevolver	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\HandmadeRevolverRifle, Actors\PowerArmor\Animations\Grips\RifleStraight, Actors\PowerArmor\Animations\Grips\Rifle, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripShoulderFired, AnimsMissileLauncher	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\MissileLauncher, Actors\PowerArmor\Animations\Grips\ShoulderMounted, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsHuntingRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\HuntingRifle, Actors\PowerArmor\Animations\Grips\RifleStraight, Actors\PowerArmor\Animations\Grips\Rifle, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsJunkJet	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\JunkJet, Actors\PowerArmor\Animations\Grips\Minigun, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsLaserGripPistol	Actors\Character\Behaviors\NoHandIKWeaponWrappingBehavior.hkx	Actors\PowerArmor\Animations\Weapons\LaserPistol, Actors\PowerArmor\Animations\Grips\Pistol, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsLaserGripRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\LaserRifleGripStraight, Actors\PowerArmor\Animations\Grips\RifleStraight, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsLaserMusket	Actors\Character\Behaviors\PowerArmorHeavyWeaponWrappingBehavior.hkx	Actors\PowerArmor\Animations\Weapons\LaserMusket, Actors\PowerArmor\Animations\Grips\RifleStraight, Actors\PowerArmor\Animations\Grips\Rifle, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsMinigun	Actors\Character\Behaviors\PowerArmorHeavyWeaponWrappingBehavior.hkx	Actors\PowerArmor\Animations\Weapons\Minigun, Actors\PowerArmor\Animations\Grips\Minigun, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsPlasmaRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\PlasmaRifle, Actors\PowerArmor\Animations\Grips\Rifle, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsRailwayRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\RailwayRifle, Actors\PowerArmor\Animations\Grips\RifleStraight, Actors\PowerArmor\Animations\Grips\Rifle, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsSubmachineGun	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\SubmachineGun, Actors\PowerArmor\Animations\Grips\Rifle, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsUnarmed, WeaponTypeUnarmed	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\PowerArmor\Animations\H2H, Actors\PowerArmor\Animations\MT, Actors\PowerArmor\Animations\MT\Sneak, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripRifleStraight	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Grips\RifleStraight, Actors\PowerArmor\Animations\Grips\Rifle, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripRifleAssault, AnimsRecieverHandmadePipe	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\PipeRifle, Actors\PowerArmor\Animations\Grips\Rifle, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripShoulderFired, AnimsMissileLauncher, AnimsTriBarrel	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\MissileLauncher\TriBarrel, Actors\PowerArmor\Animations\Weapons\MissileLauncher, Actors\PowerArmor\Animations\Grips\ShoulderMounted, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripShoulderFired, AnimsMissileLauncher, AnimsQuadBarrel	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\MissileLauncher\QuadBarrel, Actors\PowerArmor\Animations\Weapons\MissileLauncher, Actors\PowerArmor\Animations\Grips\ShoulderMounted, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGatlingLaser, AnimsGatlingLaserSuper	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\GatlingLaser\SuperBarrel, Actors\PowerArmor\Animations\Weapons\GatlingLaser, Actors\PowerArmor\Animations\Grips\Minigun, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsLaserMusket, AnimsLaserMusketAutoCrank	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\LaserMusket\AutoCrank, Actors\PowerArmor\Animations\Weapons\LaserMusket, Actors\PowerArmor\Animations\Grips\RifleStraight, Actors\PowerArmor\Animations\Grips\Rifle, Actors\PowerArmor\Animations\Paired
Weapon	1st		AnimsMissileLauncher	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\MissileLauncher, Actors\Character\_1stPerson\Animations\MissileLauncher, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsGatlingLaser, AnimsGatlingLaserSuper	Actors\Character\_1stPerson\Behaviors\BigGuns_GunWrappingBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\GatlingLaser, Actors\Character\_1stPerson\Animations\GatlingLaser\SuperBarrel, Actors\Character\_1stPerson\Animations\GatlingLaser, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		Anims1hmShortWeapon, Anims1hmWeapon, AnimsRipper	Actors\Character\_1stPerson\Behaviors\MeleeBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\1HM, Actors\Character\_1stPerson\Animations\Ripper, Actors\Character\_1stPerson\Animations\1HM, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		Anims1hmWeapon	Actors\Character\_1stPerson\Behaviors\MeleeBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\1HM, Actors\Character\_1stPerson\Animations\1HM, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		Anims1hmWeapon, AnimsBaton	Actors\Character\_1stPerson\Behaviors\MeleeBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\1HM, Actors\Character\_1stPerson\Animations\Baton, Actors\Character\_1stPerson\Animations\1HM, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		Anims2hmWeapon	Actors\Character\_1stPerson\Behaviors\MeleeBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\2HM, Actors\Character\_1stPerson\Animations\2HM, Actors\Character\_1stPerson\Animations\1HM, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsPlasmaRifle	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\PlasmaRifle, Actors\Character\_1stPerson\Animations\PlasmaRifle, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\_1stPerson\Behaviors\MeleeBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\1HM, Actors\Character\_1stPerson\Animations\1HM, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsCombatShotgun	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\CombatShotgun, Actors\Character\_1stPerson\Animations\CombatShotgun, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsBaton	Actors\Character\_1stPerson\Behaviors\MeleeBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\1HM, Actors\Character\_1stPerson\Animations\Baton, Actors\Character\_1stPerson\Animations\1HM, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsAlienBlaster	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\AlienBlaster, Actors\Character\_1stPerson\Animations\AlienBlaster, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsBroadsider	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\Broadsider, Actors\Character\_1stPerson\Animations\Broadsider, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsDeliverer, AnimsGripPistol	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\CovertSidearm, Actors\Character\_1stPerson\Animations\CovertSidearm, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsCryolator	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\Cryolator, Actors\Character\_1stPerson\Animations\Cryolator, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsGaussRifle, AnimsGripRifleAssault	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\GaussRifle, Actors\Character\_1stPerson\Animations\GaussRifle, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsFatMan	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\FatMan, Actors\Character\_1stPerson\Animations\FatMan, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		animsDoubleBarrelShotgun	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\DoubleBarrelShotgun, Actors\Character\_1stPerson\Animations\DoubleBarrelShotgun, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsFlareGun	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\FlareGun, Actors\Character\_1stPerson\Animations\FlareGun, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsSyringer	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\Syringer, Actors\Character\_1stPerson\Animations\Syringer, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsGammaGun, AnimsGripPistol	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\GammaGun, Actors\Character\_1stPerson\Animations\GammaGun, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsLaserMusket	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\LaserMusket, actors\Character\_1stPerson\Animations\LaserMusket, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsFlamer	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\Flamer, Actors\Character\_1stPerson\Animations\Flamer, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsGripPistol, AnimsReceiverHandmadePipeSA, AnimsRecieverHandmadePipe	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\PipeRiflePistol, Actors\Character\_1stPerson\Animations\PipeRiflePistolSA, Actors\Character\_1stPerson\Animations\PipeRiflePistol, Actors\Character\_1stPerson\Animations\PipeRifle, Actors\Character\_1stPerson\Animations\HandmadeRevolver, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsGripRifleAssault	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\Rifle, actors\Character\_1stPerson\Animations\Rifle, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsGripPistol, AnimsLaserGripPistol	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\LaserPistol, Actors\Character\_1stPerson\Animations\LaserPistol, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsLaserBarrelStandard, AnimsLaserGripRifle	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\LaserRifleGripStraight, Actors\Character\_1stPerson\Animations\LaserRifleGripStraight, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsGripPistol, AnimsRecieverHandmadeRevolver	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\HandmadeRevolver, Actors\Character\_1stPerson\Animations\HandmadeRevolver, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsLaserBarrelShort, AnimsLaserGripRifle	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\LaserRifleGripStraight, Actors\Character\_1stPerson\Animations\LaserRifleGripStraight, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsRailwayRifle	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\RailwayRifle, Actors\Character\_1stPerson\Animations\RailwayRifle, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsGripPistol, AnimsRecieverHandmadePipe	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\PipeRiflePistol, Actors\Character\_1stPerson\Animations\PipeRiflePistol, Actors\Character\_1stPerson\Animations\PipeRifle, Actors\Character\_1stPerson\Animations\HandmadeRevolver, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsLaserBarrelSuper, AnimsLaserGripRifle	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\LaserRifleRapidGripStraight, Actors\Character\_1stPerson\Animations\LaserRifleRapidGripStraight, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsJunkJet	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\JunkJet, Actors\Character\_1stPerson\Animations\JunkJet, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsLaserBarrelRapid, AnimsLaserGripRifle	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\LaserRifleRapidGripStraight, Actors\Character\_1stPerson\Animations\LaserRifleRapidGripStraight, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsLaserGripPistol	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\LaserPistol, Actors\Character\_1stPerson\Animations\LaserPistol, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsHuntingRifle	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\HuntingRifle, Actors\Character\_1stPerson\Animations\HuntingRifle, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsUnarmed	Actors\Character\_1stPerson\Behaviors\MeleeBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\H2H, Actors\Character\_1stPerson\Animations\H2H, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsMinigun	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\Minigun, Actors\Character\_1stPerson\Animations\Minigun, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsFP10mm	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\Pistol, actors\Character\_1stPerson\Animations\Pistol, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsRecieverHandmadeRevolver	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\HandmadeRevolver, Actors\Character\_1stPerson\Animations\HandmadeRevolver, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
Weapon	1st		AnimsGripRifleStraight, AnimsRecieverHandmadeRevolver	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\PowerArmor\_1stPerson\Animations\HandmadeRevolverGripStraight, Actors\Character\_1stPerson\Animations\HandmadeRevolverGripStraight, Actors\Character\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Paired
