Role	Perspective	Actor Keyword(s)	Target Keyword(s)	Behavior Path	Animation Path(s)
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft	AnimsGripRifleAssault	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\Machinegun\Injured\Left, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\Machinegun\Injured\Right, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\Machinegun\Injured\OnGround, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft	AnimsGripRifleAssault	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\Machinegun\Injured\Left, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredLeft	AnimsRecieverHandmadePipe	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\PipeRifle, Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle\Injured\Left, Actors\Supermutant\Animations\Machinegun\Injured\Left, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd		AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft	AnimsHuntingRifle	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredRight	AnimsHuntingRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\HuntingRifle\Injured\Right, Actors\Supermutant\Animations\Machinegun\Injured\Right, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft	AnimsHuntingRifle	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\HuntingRifle\Injured\Left, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredLeft	AnimsHuntingRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\HuntingRifle\Injured\Left, Actors\Supermutant\Animations\Machinegun\Injured\Left, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd		AnimsFatManBomb	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Supermutant\Animations\Suicider, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsHuntingRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\HuntingRifle\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredRight	AnimsHuntingRifle	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\HuntingRifle\Injured\Right, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredRight	AnimsLaserGripRifle	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle\Injured\Right, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredRight	AnimsLaserGripRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle\Injured\Right, Actors\Supermutant\Animations\Machinegun\Injured\Right, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredLeft	AnimsLaserGripRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle\Injured\Left, Actors\Supermutant\Animations\Machinegun\Injured\Left, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd		AnimsLaserGripRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft	AnimsUnarmed, WeaponTypeUnarmed	Actors\Character\Behaviors\LeftArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight	AnimsUnarmed, WeaponTypeUnarmed	Actors\Character\Behaviors\BothArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredRight	AnimsUnarmed, WeaponTypeUnarmed	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Supermutant\Animations\H2H\Injured\Right, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsGripShoulderFired, AnimsMissileLauncher	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\MissileLauncher\Injured\OnGround, Actors\Supermutant\Animations\MissileLauncher, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsUnarmed, WeaponTypeUnarmed	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Supermutant\Animations\H2H\Injured\OnGround, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsRecieverHandmadePipe	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\PipeRifle\Injured\OnGround, Actors\Supermutant\Animations\LaserRifleGripStraight\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight	AnimsUnarmed, WeaponTypeUnarmed	Actors\Character\Behaviors\RightArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft	AnimsUnarmed, WeaponTypeUnarmed	Actors\Character\Behaviors\LeftArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\H2H\Injured\Left, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsUnarmed, WeaponTypeUnarmed	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Supermutant\Animations\H2H\Injured\OnGround, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredRight	AnimsUnarmed, WeaponTypeUnarmed	Actors\Character\Behaviors\LeftArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\H2H\Injured\Right, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft	AnimsUnarmed, WeaponTypeUnarmed	Actors\Character\Behaviors\RightArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\H2H\Injured\Left, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredRight	AnimsUnarmed, WeaponTypeUnarmed	Actors\Character\Behaviors\RightArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\H2H\Injured\Right, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd		Anims2hmWideWeapon	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Supermutant\Animations\2HM, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsLaserGripRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\LaserRifleGripStraight\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd		AnimsUnarmed, WeaponTypeUnarmed	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredRight	AnimsRecieverHandmadePipe	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\PipeRifle, Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle\Injured\Right, Actors\Supermutant\Animations\Machinegun\Injured\Right, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd		AnimsMinigun	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\MiniGun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredLeft	AnimsGripShoulderFired, AnimsMissileLauncher	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\MissileLauncher\Injured\Left, Actors\Supermutant\Animations\MissileLauncher, Actors\Supermutant\Animations\Shared
Weapon	3rd		AnimsGripShoulderFired, AnimsMissileLauncher	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\MissileLauncher, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredRight	AnimsMinigun	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\MiniGun\Injured\Right, Actors\Supermutant\Animations\MiniGun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\Machinegun\Injured\Right, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredLeft	AnimsMinigun	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\MiniGun\Injured\Left, Actors\Supermutant\Animations\MiniGun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredLeft, ActorMobilityInjuredRight	Anims2hmWideWeapon	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Supermutant\Animations\2HM\Injured\OnGround, Actors\Supermutant\Animations\2HM, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredLeft	Anims2hmWideWeapon	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Supermutant\Animations\2HM\Injured\Left, Actors\Supermutant\Animations\2HM, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd		AnimsHuntingRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredRight	AnimsGripShoulderFired, AnimsMissileLauncher	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\MissileLauncher\Injured\Right, Actors\Supermutant\Animations\MissileLauncher, Actors\Supermutant\Animations\Shared
Weapon	3rd		AnimsRecieverHandmadePipe	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\PipeRifle, Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsRecieverHandmadePipe	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\PipeRifle\Injured\OnGround, Actors\Supermutant\Animations\LaserRifleGripStraight\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight	AnimsLaserGripRifle	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredRight	Anims2hmWideWeapon	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Supermutant\Animations\2HM\Injured\Right, Actors\Supermutant\Animations\2HM, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft	Anims2hmWideWeapon	Actors\Character\Behaviors\LeftArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\2HM, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight	Anims2hmWideWeapon	Actors\Character\Behaviors\RightArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\2HM, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight	Anims2hmWideWeapon	Actors\Character\Behaviors\BothArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\2HM, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft	Anims2hmWideWeapon	Actors\Character\Behaviors\LeftArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\2HM\Injured\Left, Actors\Supermutant\Animations\2HM, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft	Anims2hmWideWeapon	Actors\Character\Behaviors\RightArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\2HM\Injured\Left, Actors\Supermutant\Animations\2HM, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft	Anims2hmWideWeapon	Actors\Character\Behaviors\BothArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\2HM\Injured\Left, Actors\Supermutant\Animations\2HM, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredRight	Anims2hmWideWeapon	Actors\Character\Behaviors\LeftArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\2HM\Injured\Right, Actors\Supermutant\Animations\2HM, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredRight	Anims2hmWideWeapon	Actors\Character\Behaviors\RightArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\2HM\Injured\Right, Actors\Supermutant\Animations\2HM, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredRight	Anims2hmWideWeapon	Actors\Character\Behaviors\BothArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\2HM\Injured\Right, Actors\Supermutant\Animations\2HM, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	Anims2hmWideWeapon	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Supermutant\Animations\2HM\Injured\OnGround, Actors\Supermutant\Animations\2HM, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	Anims2hmWideWeapon	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Supermutant\Animations\2HM\Injured\OnGround, Actors\Supermutant\Animations\2HM, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\Machinegun\Injured\OnGround, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight	AnimsHuntingRifle	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight	AnimsHuntingRifle	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft	AnimsHuntingRifle	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\HuntingRifle\Injured\Left, Actors\Supermutant\Animations\Machinegun\Injured\Left, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft	AnimsHuntingRifle	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\HuntingRifle\Injured\Left, Actors\Supermutant\Animations\Machinegun\Injured\Left, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsHuntingRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\HuntingRifle\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredRight	AnimsHuntingRifle	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\HuntingRifle\Injured\Right, Actors\Supermutant\Animations\Machinegun\Injured\Right, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsHuntingRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\HuntingRifle\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft	AnimsLaserGripRifle	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle\Injured\Left, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsHuntingRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\HuntingRifle\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsLaserGripRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\LaserRifleGripStraight\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsLaserGripRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\LaserRifleGripStraight\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
