Role	Perspective	Actor Keyword(s)	Target Keyword(s)	Behavior Path	Animation Path(s)
MT	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft		Actors\Character\Behaviors\RightArmInjuredMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Injured\Left, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	ActorAttackInjuredRight, ActorMobilityInjuredRight		Actors\Character\Behaviors\RightArmInjuredMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Injured\Right, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight		Actors\Character\Behaviors\BothArmInjuredMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Injured\OnGround, Actors\Character\Animations\MT\Neutral, actors\Character\Animations\Furniture\Water, Actors\Character\Animations
MT	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredRight		Actors\Character\Behaviors\BothArmInjuredMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Injured\Right, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft		Actors\Character\Behaviors\BothArmInjuredMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Injured\Left, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	AnimArchetypeElderly		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Elderly, Actors\Character\Animations\MT\Depressed, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimCoughing		Actors\Character\Behaviors\SingleIdleMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	AnimArchetypeDepressed, female		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Depressed\Female, Actors\Character\Animations\MT\Neutral\Female, Actors\Character\Animations\MT\Depressed, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight		Actors\Character\Behaviors\LeftArmInjuredMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Injured\OnGround, Actors\Character\Animations\MT\Neutral, actors\Character\Animations\Furniture\Water, Actors\Character\Animations
MT	3rd	AnimArchetypeFriendly, female		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Friendly\Female, Actors\Character\Animations\MT\Neutral\Female, Actors\Character\Animations\MT\Friendly, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimArchetypeIrritated, female		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Irritated\Female, Actors\Character\Animations\MT\Neutral\Female, Actors\Character\Animations\MT\Irritated, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	female		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Neutral\Female, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimArchetypeConfident, female		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Confident\Female, Actors\Character\Animations\MT\Neutral\Female, Actors\Character\Animations\MT\Confident, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimArchetypePlayer, female		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Player\Female, Actors\Character\Animations\MT\Confident\Female, Actors\Character\Animations\MT\Neutral\Female, Actors\Character\Animations\MT\Player, Actors\Character\Animations\MT\Confident, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	AnimFlavorHandsUp		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Neutral\HandsUp, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimArchetypeFastWalk, female		Actors\Character\Behaviors\FastWalk_MTWrappingBehavior.hkx	Actors\Character\Animations\MT\Player\Female, Actors\Character\Animations\MT\Confident\Female, Actors\Character\Animations\MT\Neutral\Female, Actors\Character\Animations\MT\Player, Actors\Character\Animations\MT\Confident, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	AnimArchetypeFriendly, AnimFlavorClipboardSalesman		Actors\Character\Behaviors\AnimObjectUnequipMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Friendly\ClipboardSalesman, Actors\Character\Animations\MT\Friendly\Clipboard, Actors\Character\Animations\MT\Neutral\Clipboard, Actors\Character\Animations\MT\Friendly, Actors\Character\Animations\MT\Neutral
MT	3rd	AnimFlavorHoldingBaby, female		Actors\Character\Behaviors\HoldingBabyMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Confident\Female\HoldingBaby, Actors\Character\Animations\MT\Confident\Female, Actors\Character\Animations\MT\Neutral\Female, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Injured\Right, Actors\Character\Animations\MT\Player, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	AnimFlavorSmoking		Actors\Character\Behaviors\AnimObjectUnequipMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Neutral\Smoking, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimFlavorBombReaction, female		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Neutral\BombReaction, Actors\Character\Animations\MT\Neutral\Female, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimFlavorClipboard		Actors\Character\Behaviors\AnimObjectUnequipMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Neutral\Clipboard, Actors\Character\Animations\MT\Neutral
MT	3rd	AnimFlavorSmoking, female		Actors\Character\Behaviors\AnimObjectUnequipMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Neutral\Female\Smoking, Actors\Character\Animations\MT\Neutral\Female, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer		Actors\Character\Behaviors\RightArmInjuredMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Injured\Right, Actors\Character\Animations\MT\Player, Actors\Character\Animations\MT\Neutral, actors\Character\Animations\Furniture\Water, Actors\Character\Animations
MT	3rd	AnimFlavorMilitary		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Neutral\Military, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimFlavorBombReaction		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Neutral\BombReaction, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimFlavorBombReactionBaby, female		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Neutral\Female\BombReactionBaby, Actors\Character\Animations\MT\Neutral\BombReaction, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimArchetypeFriendly, AnimFlavorClipboard		Actors\Character\Behaviors\AnimObjectUnequipMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Friendly\Clipboard, Actors\Character\Animations\MT\Neutral\Clipboard, Actors\Character\Animations\MT\Friendly, Actors\Character\Animations\MT\Neutral
MT	3rd	AnimArchetypeShocked		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Shocked, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimFlavorMedX		Actors\Character\Behaviors\AnimObjectUnequipMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Neutral\MedX, Actors\Character\Animations\MT\Neutral
MT	3rd	AnimArchetypeScared		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Scared, Actors\Character\Animations\MT\Nervous, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimArchetypeScared, female		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Scared\Female, Actors\Character\Animations\MT\Nervous\Female, Actors\Character\Animations\MT\Neutral\Female, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimArchetypeScared, AnimFlavorHoldingBaby, female		Actors\Character\Behaviors\HoldingBabyMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Confident\Female\HoldingBaby\Scared, Actors\Character\Animations\MT\Confident\Female\HoldingBaby, Actors\Character\Animations\MT\Confident\Female, Actors\Character\Animations\MT\Neutral\Female, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimsCrossedArms, female		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Irritated\Female\CrossedArms, Actors\Character\Animations\MT\Irritated\Female, Actors\Character\Animations\MT\Neutral\Female, Actors\Character\Animations\MT\Irritated, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimFlavorHandsUp, female		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Neutral\HandsUp, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimFlavorMilitary, female		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Neutral\Military, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimArchetypeScared, AnimFlavorHoldingBaby		Actors\Character\Behaviors\HoldingBabyMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Confident\Female\HoldingBaby\Scared, Actors\Character\Animations\MT\Neutral\HoldingBaby, Actors\Character\Animations\MT\Confident, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimFlavorHoldingBaby		Actors\Character\Behaviors\HoldingBabyMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Neutral\HoldingBaby, Actors\Character\Animations\MT\Confident, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimArchetypeFastWalk		Actors\Character\Behaviors\FastWalk_MTWrappingBehavior.hkx	Actors\Character\Animations\MT\Player, Actors\Character\Animations\MT\Confident, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer		Actors\Character\Behaviors\BothArmInjuredMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Injured\Right, Actors\Character\Animations\MT\Player, Actors\Character\Animations\MT\Neutral, actors\Character\Animations\Furniture\Water, Actors\Character\Animations
MT	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer		Actors\Character\Behaviors\LeftArmInjuredMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Injured\Right, Actors\Character\Animations\MT\Player, Actors\Character\Animations\MT\Neutral, actors\Character\Animations\Furniture\Water, Actors\Character\Animations
MT	3rd	AnimArchetypeConfident, AnimFlavorMilitary		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Confident\Military, Actors\Character\Animations\MT\Neutral\Military, Actors\Character\Animations\MT\Confident, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	1st			Actors\Character\_1stPerson\Behaviors\MTBehavior.hkx	Actors\Character\_1stPerson\Animations\Paired, Actors\Character\_1stPerson\Animations\Furniture\Water, Actors\Character\_1stPerson\Animations\Loose, Actors\Character\_1stPerson\Animations\Common, actors\Character\_1stPerson\Animations\Rifle
MT	1st	AnimArchetypeFastWalk		Actors\Character\_1stPerson\Behaviors\FastWalk_MTWrappingBehavior.hkx	Actors\Character\_1stPerson\Animations\Paired, Actors\Character\_1stPerson\Animations\Furniture\Water, Actors\Character\_1stPerson\Animations\Loose, Actors\Character\_1stPerson\Animations\Common, actors\Character\_1stPerson\Animations\Rifle
Weapon	3rd	ActorAttackInjuredLeft	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\LeftArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\BothArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\BothArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM\Injured\Left, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\BothArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HM\Injured\OnGround, Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\BothArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HM\Injured\Right, Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredRight	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\BothArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM\Injured\Right, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\LeftArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM\Injured\Left, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\LeftArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HM\Injured\OnGround, Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM\Injured\Right, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\LeftArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HM\Injured\Right, Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM\Injured\Right, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredRight	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\LeftArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM\Injured\Right, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredRight	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\RightArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\RightArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM\Injured\Left, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\RightArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HM\Injured\OnGround, Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\RightArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HM\Injured\Right, Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredRight	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\RightArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM\Injured\Right, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorMobilityInjuredLeft	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM\Injured\Left, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorMobilityInjuredLeft, ActorMobilityInjuredRight	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Character\Animations\1HM\Injured\OnGround, Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM\Injured\Left, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Character\Animations\1HM\Injured\Right, Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM\Injured\Left, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorMobilityInjuredRight	Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM\Injured\Right, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd		Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Character\Animations\1HMShort, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft	Anims1hmShortWeapon, Anims1hmWeapon, AnimsRipper	Actors\Character\Behaviors\LeftArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\Ripper, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight	Anims1hmShortWeapon, Anims1hmWeapon, AnimsRipper	Actors\Character\Behaviors\BothArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\Ripper, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft	Anims1hmShortWeapon, Anims1hmWeapon, AnimsRipper	Actors\Character\Behaviors\BothArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HM\Injured\Left, Actors\Character\Animations\Ripper, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	Anims1hmShortWeapon, Anims1hmWeapon, AnimsRipper	Actors\Character\Behaviors\BothArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HM\Injured\OnGround, Actors\Character\Animations\Ripper, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer	Anims1hmShortWeapon, Anims1hmWeapon, AnimsRipper	Actors\Character\Behaviors\BothArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HM\Injured\Right, Actors\Character\Animations\Ripper, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredRight	Anims1hmShortWeapon, Anims1hmWeapon, AnimsRipper	Actors\Character\Behaviors\BothArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HM\Injured\Right, Actors\Character\Animations\Ripper, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft	Anims1hmShortWeapon, Anims1hmWeapon, AnimsRipper	Actors\Character\Behaviors\LeftArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HM\Injured\Left, Actors\Character\Animations\Ripper, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	Anims1hmShortWeapon, Anims1hmWeapon, AnimsRipper	Actors\Character\Behaviors\LeftArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HM\Injured\OnGround, Actors\Character\Animations\Ripper, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer	Anims1hmShortWeapon, Anims1hmWeapon, AnimsRipper	Actors\Character\Behaviors\LeftArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HM\Injured\Right, Actors\Character\Animations\Ripper, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredRight	Anims1hmShortWeapon, Anims1hmWeapon, AnimsRipper	Actors\Character\Behaviors\LeftArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\1HM\Injured\Right, Actors\Character\Animations\Ripper, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
Weapon	3rd	ActorAttackInjuredRight	Anims1hmShortWeapon, Anims1hmWeapon, AnimsRipper	Actors\Character\Behaviors\RightArmInjuredMeleeWrappingBehavior.hkx	Actors\Character\Animations\Ripper, Actors\Character\Animations\1HM, Actors\Character\Animations\Paired
